"","Sample","p0","shape","scale"
"1",NA,NA,NA,NA
"p0","MD_RTLC_01",0.00233351081776045,0.589225449043563,21297.9763568388
"p01","MD_RTLC_02",0.00253863701917912,1.40811819857202,6896.00098204169
"p02","MD_RTLC_03",0.00337407373814086,0.389798874550624,61281.1022060384
"p03","MD_RTLC_04",0.00118044585867786,1.42073024516173,7040.50292104703
"p04","MD_RTLC_05",0.00285475319635868,0.412171988632437,60447.9614273726
"p05","MD_RTLC_06",0.000754017860182866,0.371595398204884,94619.4002541054
"p06","MD_RTLC_07",0.0020906034328514,1.96224794589675,2250.01918459272
"p07","MD_RTLC_08",0.00135130607157639,1.76770397946876,3639.00579935876
"p08","MD_RTLC_09",0.00130139619417727,1.74061349364853,3726.50386165474
"p09","MD_RTLC_10",0.00133952565061946,1.64500114385366,4718.00285737553
"p010","MD_RTLC_11",0.00223939569000288,1.40976929138448,5425.00151714221
"p011","MD_RTLC_12",0.00246610094131091,1.33023822408714,5624.50054757286
"p012","MD_RTLC_13",0.00228857800792563,1.346429803969,8705.00052038661
"p013","MD_RTLC_14",0.00264824432409156,0.531508274572038,58199.3367060558
"p014","MD_RTLC_15",0.00111715063381244,1.4154977827727,9046.50118486199
"p015","MD_RTLC_16",0.0028653842890339,1.5573722995606,5360.00415656563
"p016","MD_RTLC_17",0.0012747023440169,1.46937758685832,6880.00247031455
"p017","MD_RTLC_18",0.00128872052343588,1.48561583238557,6782.50311571264
"p018","MD_RTLC_19",0.00132996773549659,1.6771626611857,7988.00142929464
"p019","MD_RTLC_20",0.0011638491055557,1.61638598940849,8323.00147919429
"p020","MD_RTLC_21",0.00291591084945108,0.425055456673192,83220.9463145201
"p021","MD_RTLC_22",0.00207203035596204,1.51801243897265,9038.00090168247
"p022","MD_RTLC_23",0.00119681092235249,1.23627359237982,9058.00029424285
"p023","MD_RTLC_24",0.000967420361048843,1.27063041376019,8735.00063052637
"p024","MD_RTLC_25",0.00175502207042888,1.33653999381373,7959.50054559146
"p025","MD_RTLC_26",0.00179933407106416,1.50852509238107,5050.00187416409
"p026","MD_RTLC_27",0.00185720654890026,0.533720597362906,29100.6919918063
"p027","MD_RTLC_28",0.00107589266154975,1.63664543819223,5013.00217134203
"p028","MD_RTLC_29",0.00109158834900265,1.58762939733772,6783.50165726003
"p029","MD_RTLC_30",0.00113558504124485,1.60362749542129,5364.50144056676
"p030","MD_RTLC_31",0.00153240143797389,1.53510020178229,6556.50259982276
"p031","MD_RTLC_32",0.00108488725533585,1.64672274904559,7435.00231152309
"p032","MD_RTLC_33",0.00113638991197039,1.61255232072704,6993.50136100446
"p033","MD_RTLC_34",0.0011568329608594,1.60230709199396,5875.00144961724
"p034","MD_RTLC_35",0.00115210782518506,1.61377705314917,6433.00136589107
"p035","MD_RTLC_36",0.0010368298796561,1.58655157714594,5249.00183945602
"p036","MD_UL_01_A",0.00240116921052806,1.63392182273971,8560.00053774167
"p037","MD_UL_02_A",0.0028183555043975,1.58551255803485,7940.50027519246
"p038","MD_UL_03_A",0.00251459690203094,1.5786275062617,7142.00028476485
"p039","MD_UL_04_A",0.00236518748024737,1.55854077709745,7376.50015155308
"p040","MD_UL_05_A",0.0022029278745497,1.5486954700653,8489.50015515693
"p041","MD_UL_06_A",0.00295832377495754,1.56884463352268,7216.00018762948
"p042","MD_UL_07_A",0.00211452134429527,1.54334560984118,8026.0001678711
"p043","MD_UL_08_A",0.00234957697199877,1.52116566764597,8624.00011544907
"p044","MD_UL_09_A",0.00189389299879682,1.55796844479895,7523.00009394425
"p045","MD_UL_10_A",0.00200121576419272,1.5776681111003,7571.00014483675
"p046","MD_UL_11_A",0.00183952007142878,1.52599631789233,8669.00015492485
"p047","MD_UL_12_A",0.00172287235027169,1.51089187498068,8790.0000783184
"p048","MD_UL_13_A",0.00190449129186905,1.47158821635447,8646.00008507691
"p049","MD_UL_14_A",0.00143036612770883,1.50234888521516,9491.00007950391
"p050","MD_UL_01_B",0.00249134034850083,1.61263891179682,8044.00043949608
"p051","MD_UL_02_B",0.00226939031770864,1.54827529438727,8811.0001796128
"p052","MD_UL_03_B",0.00228370470190844,1.60429119884904,7074.50036207774
"p053","MD_UL_04_B",0.00267907920179463,1.57563693818166,7728.00015455993
"p054","MD_UL_05_B",0.00203684736164111,1.52365216044292,7432.00009415221
"p055","MD_UL_06_B",0.00293370203793828,1.6541311118391,6424.00025545057
"p056","MD_UL_07_B",0.00224048566953088,1.58318544362487,7181.00015756165
"p057","MD_UL_08_B",0.00204047978728132,1.59007892063615,7272.00012991858
"p058","MD_UL_09_B",0.00180224182020318,1.60457285961706,7136.00019746157
"p059","MD_UL_10_B",0.00227325233750171,1.62477435831147,7486.50019433363
"p060","MD_UL_11_B",0.00180756702421655,1.60433835288607,8027.000175687
"p061","MD_UL_12_B",0.00173165059953403,1.50426720275675,8622.00006372091
"p062","MD_UL_13_B",0.00174059259945808,1.52370519582507,7618.0003337877
"p063","MD_UL_14_B",0.00143560619181519,1.52494823019843,9297.000112904
"p064","MD_GSSF_T1_A",0.00293874258748679,1.56406889459633,890.28657878232
"p065","MD_GSSF_T1_B",0.00298837508215951,1.64242906183521,963.285135127991
"p066","MD_GSSF_T1_C",0.00367745175773714,1.73947651906269,934.208247504607
"p067","MD_GSSF_T1_D",0.00198375351307973,1.64322703936681,868.234915340443
"p068","MD_GSSF_T1_E",0.00111959289076346,1.66916917842475,971.293501447675
"p069","MD_GSSF_T2_A",0.000563503783426051,2.14741858537741,1693.02922325038
"p070","MD_GSSF_T2_B",0.000339485686502237,2.15394053949741,1820.33935866925
"p071","MD_GSSF_T2_C",0.002133535056048,2.81753187572751,3468.16573774308
"p072","MD_GSSF_T2_D",0.000255047468197207,0.636703204769203,70344.4401867409
"p073","MD_GSSF_T2_E",0.00610796994635634,2.80874986628069,4692.61984278257
"p074","MD_GSSF_T3_A",0.000198831639649379,0.696628842489673,115765.284960028
"p075","MD_GSSF_T3_B",0.000159310732554359,0.694580512413269,103988.146448114
"p076","MD_GSSF_T3_C",0.00194012113852356,0.702365504030233,123247.296789889
"p077","MD_GSSF_T3_D",0.00112891854029793,1.11174971621357,115224.512811015
"p078","MD_GSSF_T3_E",7.27092124366635e-05,0.905103209543785,130093.892206307
"p079","MD_GSSF_T4_A",0.000782556176262766,1.24748063193402,129471.662509361
"p080","MD_GSSF_T4_B",0.000408192765921808,1.22631224303732,112877.008505092
"p081","MD_GSSF_T4_C",0.000432107816761934,1.18243804131138,115733.06185239
"p082","MD_GSSF_T4_D",0.0006660701888415,1.31026769332762,97549.7682876619
"p083","MD_GSSF_T4_E",0.000131024360649077,1.30670187221874,102389.094113883
"p084","MD_GSSF_T5_A",0.00155614749735151,1.2783197211561,100637.730721994
"p085","MD_GSSF_T5_B",3.54338157929441e-05,1.33322423119114,87049.4412563307
"p086","MD_GSSF_T5_C",0.000519876939628779,1.2951090223636,92741.1925581765
"p087","MD_GSSF_T5_D",0.000110411413646546,1.33089770177294,89729.2709968116
"p088","MD_GSSF_T5_E",0.00034091887197704,1.1957043335325,90023.5248497246
"p089","MD_GSSF_T6_A",0.000135572349180256,1.2381073437974,88438.6535474735
"p090","MD_GSSF_T6_B",0.00016979181361959,1.25558170384581,74055.9275854092
"p091","MD_GSSF_T6_C",0.000464406641422662,1.33900080654637,75277.7136853086
"p092","MD_GSSF_T6_D",0.000461827469627642,1.28455438270271,77160.8911491767
"p093","MD_GSSF_T6_E",0.000535966188607462,1.19014991385177,76917.5298951266
"p094","MD_GSSF_T7_A",0.000548562467955779,1.28530057950233,74691.6492018141
"p095","MD_GSSF_T7_B",0.000397583478538017,1.3072212729576,76036.2466325015
"p096","MD_GSSF_T7_C",0.000861317522471288,1.28081316515254,81613.909716463
"p097","MD_GSSF_T7_D",0.000250873170314129,1.26890116957069,73479.6566335592
"p098","MD_GSSF_T7_E",0.000333887960931114,1.21773578751844,75352.0015474321
"p099","MD_GSSF_T8_A",0.000184503151677111,1.20110093989111,71548.0450241267
"p0100","MD_GSSF_T8_B",0.000447861845031649,1.31287610328212,64143.9462797432
"p0101","MD_GSSF_T8_C",1e-05,1.35156039357482,61971.499983882
"p0102","MD_GSSF_T8_D",0.00206652222523508,1.28522800222853,68812.5875052251
"p0103","MD_GSSF_T8_E",0.000706064208690162,1.23220931514882,62555.8243248213
"p0104","MD_GSSF_T9_A",0.000455147861309762,1.2736799390884,66805.9604368636
"p0105","MD_GSSF_T9_B",0.000236117147598833,1.28830018350962,67792.0600528023
"p0106","MD_GSSF_T9_C",0.00176114900371286,1.30475229959182,66397.4801475924
"p0107","MD_GSSF_T9_D",0.000524507658715551,1.27714962494036,61477.6948391311
"p0108","MD_GSSF_T9_E",0.000114620026246974,1.23860042080467,61452.9119416468
"p0109","MD_GSSF_T10_A",0.000683083581744596,1.35926007097703,28903.7234310627
"p0110","MD_GSSF_T10_B",0.000141986794052715,1.27653802450414,25029.2124538464
"p0111","MD_GSSF_T10_C",0.000204059754534161,1.20037967018782,34174.6068268
"p0112","MD_GSSF_T10_D",0.00037066044356272,1.23623112540324,27051.2223084681
"p0113","MD_GSSF_T10_E",4.36850113114222e-05,1.2740099527601,25086.3833338156
